X Coordinate, Y Coordinate, Z Coordinate
1627.8787,235.1082,-4.8661,
1628.3101,1166.8218,-5.3582,
1627.8787,235.1082,-4.8661,
1627.9667,235.1082,-4.9630,
1628.3101,1166.8218,-5.3582,
1627.9667,235.1082,-4.9630,
1628.3101,235.1082,-5.3582,
1628.3101,1166.8218,-5.3582,
1628.3101,1166.8218,-5.3582,
1628.3101,235.1082,-5.3582,
1628.7197,1166.8218,-5.8686,
1628.3101,235.1082,-5.3582,
1628.3772,235.1082,-5.4386,
1628.7197,1166.8218,-5.8686,
1628.3772,235.1082,-5.4386,
1628.7197,235.1082,-5.8686,
1628.7197,1166.8218,-5.8686,
1628.7197,1166.8218,-5.8686,
1628.7197,235.1082,-5.8686,
1629.1068,1166.8218,-6.3964,
1628.7197,235.1082,-5.8686,
1628.7673,235.1082,-5.9310,
1629.1068,1166.8218,-6.3964,
1628.7673,235.1082,-5.9310,
1629.1068,235.1082,-6.3964,
1629.1068,1166.8218,-6.3964,
1629.1068,1166.8218,-6.3964,
1629.1068,235.1082,-6.3964,
1629.4703,1166.8218,-6.9405,
1629.1068,235.1082,-6.3964,
1629.1367,235.1082,-6.4393,
1629.4703,1166.8218,-6.9405,
1629.1367,235.1082,-6.4393,
1629.4703,235.1082,-6.9405,
1629.4703,1166.8218,-6.9405,
1629.4703,1166.8218,-6.9405,
1629.4703,235.1082,-6.9405,
1629.8098,1166.8218,-7.5000,
1629.4703,235.1082,-6.9405,
1629.4844,235.1082,-6.9626,
1629.8098,1166.8218,-7.5000,
1629.8098,1166.8218,-7.5000,
1629.4844,235.1082,-6.9626,
1629.8098,235.1082,-7.5000,
1671.8796,267.4812,-76.2000,
1671.7094,267.6999,-76.2000,
1630.9290,226.9198,-5.5667,
1671.2329,268.3847,-76.2000,
1671.0859,268.6223,-76.2000,
1630.3748,227.9114,-5.6863,
1670.6819,269.3615,-76.2000,
1670.5596,269.6163,-76.2000,
1629.9564,229.0133,-5.8732,
1670.4435,269.8752,-76.2000,
1670.3339,270.1379,-76.2000,
1629.7988,229.6034,-5.9916,
1670.0435,270.9485,-76.2000,
1669.9597,271.2256,-76.2000,
1629.5894,230.8557,-6.2767,
1669.8824,271.5062,-76.2000,
1669.8118,271.7898,-76.2000,
1629.5376,231.5162,-6.4432,
1669.7477,272.0765,-76.2000,
1669.6904,272.3662,-76.2000,
1629.5211,232.1975,-6.6251,
1669.6396,272.6586,-76.2000,
1669.5957,272.9536,-76.2000,
1629.5403,232.8986,-6.8220,
1669.5585,273.2512,-76.2000,
1669.5280,273.5512,-76.2000,
1629.5950,233.6185,-7.0338,
1669.5043,273.8534,-76.2000,
1669.4873,274.1577,-76.2000,
1629.6869,234.3694,-7.2643,
1629.6869,234.3694,-7.2643,
1669.4873,274.1577,-76.2000,
1629.8098,235.1082,-7.5000,
1669.4873,274.1577,-76.2000,
1669.4772,274.4640,-76.2000,
1629.8098,235.1082,-7.5000,
1629.8098,235.1082,-7.5000,
1669.4772,274.4640,-76.2000,
1669.4738,274.7721,-76.2000,
1669.5043,273.8534,-76.2000,
1629.6869,234.3694,-7.2643,
1669.5280,273.5512,-76.2000,
1629.6869,234.3694,-7.2643,
1629.5990,233.6595,-7.0462,
1669.5280,273.5512,-76.2000,
1669.5280,273.5512,-76.2000,
1629.5990,233.6595,-7.0462,
1629.5950,233.6185,-7.0338,
1669.5585,273.2512,-76.2000,
1629.5950,233.6185,-7.0338,
1669.5957,272.9536,-76.2000,
1629.5950,233.6185,-7.0338,
1629.5447,232.9795,-6.8453,
1669.5957,272.9536,-76.2000,
1669.5957,272.9536,-76.2000,
1629.5447,232.9795,-6.8453,
1629.5403,232.8986,-6.8220,
1629.5211,232.1975,-6.6251,
1669.6904,272.3662,-76.2000,
1629.5221,232.3256,-6.6603,
1669.6396,272.6586,-76.2000,
1629.5403,232.8986,-6.8220,
1669.6904,272.3662,-76.2000,
1629.5403,232.8986,-6.8220,
1629.5294,232.6489,-6.7508,
1669.6904,272.3662,-76.2000,
1669.6904,272.3662,-76.2000,
1629.5294,232.6489,-6.7508,
1629.5221,232.3256,-6.6603,
1629.5376,231.5162,-6.4432,
1669.8118,271.7898,-76.2000,
1629.5294,231.7006,-6.4914,
1669.7477,272.0765,-76.2000,
1629.5211,232.1975,-6.6251,
1669.8118,271.7898,-76.2000,
1629.5211,232.1975,-6.6251,
1629.5221,232.0096,-6.5739,
1669.8118,271.7898,-76.2000,
1669.8118,271.7898,-76.2000,
1629.5221,232.0096,-6.5739,
1629.5294,231.7006,-6.4914,
1629.5894,230.8557,-6.2767,
1669.9597,271.2256,-76.2000,
1629.5654,231.1037,-6.3380,
1669.8824,271.5062,-76.2000,
1629.5376,231.5162,-6.4432,
1669.9597,271.2256,-76.2000,
1629.5376,231.5162,-6.4432,
1629.5441,231.3987,-6.4128,
1669.9597,271.2256,-76.2000,
1669.9597,271.2256,-76.2000,
1629.5441,231.3987,-6.4128,
1629.5654,231.1037,-6.3380,
1629.6285,230.5339,-6.1995,
1629.6698,230.2590,-6.1355,
1670.1338,270.6747,-76.2000,
1629.6698,230.2590,-6.1355,
1629.6766,230.2177,-6.1261,
1670.1338,270.6747,-76.2000,
1670.1338,270.6747,-76.2000,
1629.6766,230.2177,-6.1261,
1670.2306,270.4045,-76.2000,
1670.0435,270.9485,-76.2000,
